id,ISSN,CN,name1,name2,oldname,category1,category2,cIF,sIF,publishNO,downNO,citeNO,evaluation,organizer,location,frequency,language,format,postalcode,firstissue,status,jurl
5979,1002-6215,33-1032/I,山海经,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,8391,165984,1241,-,浙江省民间文艺家协会,浙江省 杭州市,半月,中文,16开,32-98,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZSHJ/detail'>Link</a>
5980,0559-7218,52-1008/I,山花,Mountain Flowers,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,19516,560147,6023,核心期刊,贵州省文联;贵州省企业决策研究,贵州省贵阳市,月刊,中文,-,-,1950,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SHHZ/detail'>Link</a>
5981,2096-5591,61-1514/C,善天下,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,295,2523,3,-,陕西新华出版传媒集团有限责任公司,陕西省西安市,半月,中文,大16开,-,2011,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/STZA/detail'>Link</a>
5982,1001-0440,61-1029/Z,陕西画报,Shaanxi Pictorial,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,1889,13547,37,-,陕西人民出版社,陕西省西安市,月刊,中文,大16开,52-75,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXHU/detail'>Link</a>
5983,-,-,陕西历史博物馆论丛,Collected Essays of Shaanxi History Museum,陕西历史博物馆论丛(1800-);陕西历史博物馆馆刊(-1700);陕西历史博物馆馆刊,哲学与人文科学；信息科技,哲学与人文科学；信息科技,-99.99,-99.99,449,34469,189,-,陕西省历史博物馆,陕西省西安市,年刊,中文,16开,-,1994,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXBW/detail'>Link</a>
5984,1006-0049,14-1003/C,山西青年,Shanxi Youth,山西青年.新晋商,哲学与人文科学,哲学与人文科学,-99.99,-99.99,33291,1117517,10406,-,山西青少年报刊社,山西省太原市,半月,中文,大16开,22-37,1976,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXQS/detail'>Link</a>
5985,0257-5906,14-1035/I,山西文学,Shanxi Literature,汾水,哲学与人文科学,哲学与人文科学,-99.99,-99.99,4765,53491,416,-,山西文学院(山西网络文学院),山西省太原市,月刊,中文,16开,2-22,1956,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXWU/detail'>Link</a>
5986,1002-1272,52-1041/I,杉乡文学,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,4869,40933,171,-,贵州黔东南州文联,贵州省凯里市,月刊,中文,16开,-,1987,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXWE/detail'>Link</a>
5987,-,-,山西省考古学会论文集,Treatises for the Third Conference of Shanxi Archaeology Association,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,232,12945,55,-,山西省考古学会;山西省考古研究所,山西省太原市,年刊,中文,16开,-,1992,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SXKG/detail'>Link</a>
5988,1004-0889,31-1179/I,少年文艺(少年读者文摘),Juvennile's Literature,少年文艺(阅读前线);少年文艺(上海<阅读前线>),哲学与人文科学,哲学与人文科学,-99.99,-99.99,3876,38590,19,-,少年儿童出版社,上海市,月刊,中文,32开,4-683,1953,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SNWD/detail'>Link</a>
5989,1002-1760,61-1025/C,少年月刊,-,陕西少年,哲学与人文科学,哲学与人文科学,-99.99,-99.99,14464,96482,44,-,共青团陕西省委员会,陕西省西安市,半月,中文,大32开,52-55,1976,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YKSN/detail'>Link</a>
5990,-,-,绍兴鲁迅研究,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,194,12157,22,-,绍兴市鲁迅纪念馆,浙江省 绍兴市,年刊,中文,32开,-,2006,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/LXSX/detail'>Link</a>
