id,ISSN,CN,name1,name2,oldname,category1,category2,cIF,sIF,publishNO,downNO,citeNO,evaluation,organizer,location,frequency,language,format,postalcode,firstissue,status,jurl
1,0375-5444,11-1856/P,地理学报,Acta Geographica Sinica,-,哲学与人文科学；基础科学,自然地理学和测绘学；地理,10.144,7.52,6378,8028124,352262,核心期刊/JST/Pж(AJ)/EI/CSCD/CSSCI来源期刊/WJCI/卓越期刊,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-109,1934,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLXB/detail'>Link</a>
2,1000-0585,11-1848/P,地理研究,Geographical Research,-,哲学与人文科学；基础科学,自然地理学和测绘学；地理,7.472,5.38,5280,6344573,228716,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-110,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLYJ/detail'>Link</a>
3,1000-0747,11-2360/TE,石油勘探与开发,Petroleum Exploration and Development,-,工程科技1；基础科学,地质学；石油天然气工业,7.158,5.957,6073,2938750,176321,核心期刊/CA/INSPEC/SCI/JST/EI/CSCD/WJCI,中国石油天然气股份有限公司勘探开发研究院;中国石油集团科学技术研究院有限公司,北京市,双月,中文,大16开,82-155,1974,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SKYK/detail'>Link</a>
4,1000-3037,11-1912/N,自然资源学报,Journal of Natural Resources,-,基础科学,资源科学,6.098,4.715,4553,4026128,204627,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国自然资源学会,北京市,月刊,中文,16开,82-322,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZRZX/detail'>Link</a>
5,1007-6301,11-3858/P,地理科学进展,Progress in Geography,地理译报,哲学与人文科学；基础科学,自然地理学和测绘学；地理,6.046,4.35,4460,4954046,161836,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-940,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLKJ/detail'>Link</a>
6,1000-0690,22-1124/P,地理科学,Scientia Geographica Sinica,-,基础科学,自然地理学和测绘学,5.987,4.293,5025,4792402,192822,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院东北地理与农业生态研究所;中国地理学会,吉林省长春市,月刊,中文,16开,8-31,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLKX/detail'>Link</a>
7,0253-9985,11-4820/TE,石油与天然气地质,Oil & Gas Geology,-,工程科技1；基础科学,地质学；石油天然气工业,4.928,4.205,4330,1730638,103890,核心期刊/CA/JST/EI/CSCD/WJCI/卓越期刊,中国石油化工股份有限公司石油勘探开发研究院;中国地质学会石油地质专业委员会,北京市,双月,中文,16开,82-287,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYYT/detail'>Link</a>
8,1672-7703,11-5215/TE,中国石油勘探,China Petroleum Exploration,勘探家,工程科技1；基础科学,地质学；石油天然气工业,4.879,4.248,2128,728754,32750,核心期刊/CA/JST/CSCD/WJCI,石油工业出版社有限公司,北京市,双月,中文,大16开,-,1996,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KTSY/detail'>Link</a>
9,1007-7588,11-3868/N,资源科学,Resources Science,自然资源,经济与管理科学；基础科学,资源科学；经济体制改革,4.798,3.505,6569,5037223,208887,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国自然资源学会,北京市,月刊,中文,16开,82-4,1977,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZRZY/detail'>Link</a>
10,1003-2053,11-1805/G3,科学学研究,Studies in Science of Science,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.752,2.998,6325,5935280,173439,核心期刊/JST/CSCD/CSSCI来源期刊,中国科学学与科技政策研究会,北京市,月刊,中文,大16开,82-315,1983,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KXYJ/detail'>Link</a>
11,1000-0933,11-2031/Q,生态学报,Acta Ecologica Sinica,-,基础科学,生物学,4.733,3.444,17357,12964338,736034,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI/卓越期刊,中国生态学学会;中国科学院生态环境研究中心,北京市,半月,中文,16开,82-7,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/STXB/detail'>Link</a>
12,1000-2995,11-1567/G3,科研管理,Science Research Management,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.523,2.701,6827,6346844,192195,核心期刊/JST/CSCD/CSSCI来源期刊,中国科学院科技战略咨询研究院;中国科学学与科技政策研究会,北京市,月刊,中文,大16开,2-502,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KYGL/detail'>Link</a>
13,0253-2697,11-2128/TE,石油学报,Acta Petrolei Sinica,-,工程科技1；基础科学,地质学；石油天然气工业,4.478,3.964,5859,2908634,185029,核心期刊/CA/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,中国石油学会,北京市,月刊,中文,大16开,2-114,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYXB/detail'>Link</a>
14,1004-9665,11-3249/P,工程地质学报,Journal of Engineering Geology,-,基础科学,地质学,4.151,3.21,3811,1355997,77769,核心期刊/JST/CSCD/WJCI,中国科学院地质与地球物理研究所,北京市,双月,中文,大16开,82-296,1993,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GCDZ/detail'>Link</a>
15,1002-0241,12-1117/G3,科学学与科学技术管理,Science of Science and Management of S.& T.,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.114,2.435,12097,5855449,187006,核心期刊/JST/CSCD扩展版/CSSCI来源期刊,天津市科学技术发展战略研究院,天津市,月刊,中文,大16开,6-42,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KXXG/detail'>Link</a>
16,1007-9807,12-1275/G3,管理科学学报,Journal of Management Sciences in China,决策与决策支持系统,经济与管理科学；基础科学,数学；宏观经济管理与可持续发展,4.1,2.53,2638,3275984,116720,核心期刊/JST/CSCD/CSSCI来源期刊,天津大学;国家自然科学基金委员会管理科学部,天津市,月刊,中文,大16开,6-89,1992,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/JCYJ/detail'>Link</a>
17,1002-4565,11-1302/C,统计研究,Statistical Research,-,社会科学2；基础科学,数学；社会学及统计学,4.081,2.56,6674,4385937,146109,核心期刊/JST/CSSCI来源期刊/WJCI,中国统计学会;国家统计局统计科学研究所,北京市,月刊,中文,大16开,82-14,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/TJYJ/detail'>Link</a>
18,1003-207X,11-2835/G3,中国管理科学,Chinese Journal of Management Science,优选与管理科学,经济与管理科学；基础科学,数学；宏观经济管理与可持续发展,4.015,2.243,5581,4715861,160793,核心期刊/JST/CSCD/CSSCI来源期刊,中国优选法统筹法与经济数学研究会;中科院科技政策与管理科学研究所,北京市,月刊,中文,大16开,82-50,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZGGK/detail'>Link</a>
19,1000-3045,11-1806/N,中国科学院院刊,Bulletin of Chinese Academy of Sciences,-,基础科学,基础科学综合,3.89,2.887,5301,2361408,55803,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI/卓越期刊,中国科学院,北京市,月刊,中文,大16开,82-202,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KYYX/detail'>Link</a>
20,1674-7240,11-5842/P,中国科学:地球科学,Scientia Sinica(Terrae),中国科学D辑;中国科学(D辑:地球科学),基础科学,地质学,3.661,2.878,4372,2714953,167752,核心期刊/JST/CSCD/WJCI,中国科学院;国家自然科学基金委员会,北京市,月刊,中文,大16开,82-752,1996,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/JDXK/detail'>Link</a>
21,1001-7348,42-1224/G3,科技进步与对策,Science & Technology Progress and Policy,-,基础科学,基础科学综合,3.607,2.014,21776,9216833,246991,核心期刊/JST/CSSCI来源期刊,湖北省科技信息研究院,湖北省武汉市,半月,中文,大16开,38-118,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KJJB/detail'>Link</a>
22,1000-2383,42-1874/P,地球科学,Earth Science,武汉地质学院学报;北京地质学院学报,基础科学,地质学,3.536,3.11,6661,2197014,110621,核心期刊/CA/INSPEC/JST/Pж(AJ)/EI/CSCD/WJCI,中国地质大学,湖北省武汉市,月刊,中文,大16开,38-87,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DQKX/detail'>Link</a>
23,1560-8999,11-5809/P,地球信息科学学报,Journal of Geo-information Science,地球信息科学;地球信息(科学.技术.产业),基础科学,自然地理学和测绘学,3.455,2.428,3852,1779289,52124,核心期刊/JST/CSCD/WJCI,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,大16开,82-919,1996,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DQXX/detail'>Link</a>
24,1009-9603,37-1359/TE,油气地质与采收率,Petroleum Geology and Recovery Efficiency,油气采收率技术;石油技术,工程科技1；基础科学,地质学；石油天然气工业,3.377,3.013,4037,1288961,65091,核心期刊/CA/JST/CSCD/WJCI,中国石油化工股份有限公司;胜利油田分公司,山东省东营市,双月,中文,大16开,-,1994,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YQCS/detail'>Link</a>
25,1000-0569,11-1922/P,岩石学报,Acta Petrologica Sinica,-,基础科学,地质学,3.316,2.842,6075,3258549,227577,核心期刊/CA/SCI/JST/Pж(AJ)/EI/CSCD/WJCI,中国矿物岩石地球化学学会;中国科学院地质与地球物理研究所,北京市,月刊,中文,大16开,8-33,1985,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YSXB/detail'>Link</a>
26,1003-7578,15-1112/N,干旱区资源与环境,Journal of Arid Land Resources and Environment,-,基础科学,资源科学,3.187,2.122,8450,4036065,139162,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,内蒙古农业大学沙漠治理研究所,内蒙古自治区呼和浩特市,月刊,中文,大16开,16-64,1987,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GHZH/detail'>Link</a>
27,1000-0992,11-1774/O3,力学进展,Advances in Mechanics,力学情报,基础科学,力学,3.174,2.13,2708,1352990,65533,核心期刊/JST/EI/CSCD/WJCI,中国科学院力学研究所;中国力学学会,北京市,季刊,中文,大16开,82-331,1971,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/LXJZ/detail'>Link</a>
28,1007-4619,11-3841/TP,遥感学报,National Remote Sensing Bulletin,环境遥感,信息科技；基础科学,自然地理学和测绘学；自动化技术,3.171,2.266,3278,1913597,92317,核心期刊/JST/Pж(AJ)/EI/CSCD/WJCI,中国科学院空天信息创新研究院,北京市,月刊,中文,大16开,82-324,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YGXB/detail'>Link</a>
29,1006-6616,11-3672/P,地质力学学报,Journal of Geomechanics,地质力学研究所所刊,基础科学,地质学,3.128,2.894,2006,488803,23735,核心期刊/JST/CSCD扩展版/WJCI,中国地质科学院地质力学研究所,北京市,双月,中文,16开,-,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DZLX/detail'>Link</a>
30,1000-3657,11-1167/P,中国地质,Geology in China,-,基础科学,地质学,3.124,2.872,8659,1459393,77868,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI,中国地质调查局;中国地质科学院,北京市,双月,中文,大16开,2-112,1953,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DIZI/detail'>Link</a>
31,0371-5736,11-1952/P,地质论评,Geological Review,-,基础科学,地质学,3.014,2.688,8362,1685707,105831,核心期刊/CA/JST/CSCD/WJCI,中国地质学会,北京市,双月,中文,大16开,2-382,1936,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DZLP/detail'>Link</a>
32,1001-6112,32-1151/TE,石油实验地质,Petroleum Geology & Experiment,石油地质实验,工程科技1；基础科学,地质学；石油天然气工业,3.009,2.65,4269,1265887,66662,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI,中国石油化工股份有限公司勘探开发研究院;中国地质学会石油地质专业委员会,江苏省无锡市,双月,中文,大16开,-,1963,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYSD/detail'>Link</a>
33,1000-4890,21-1148/Q,生态学杂志,Chinese Journal of Ecology,-,农业科技；基础科学,生物学；农业综合,2.997,2.182,10157,4669672,254714,核心期刊/CA/JST/CSCD/WJCI,中国生态学会,辽宁省沈阳市,月刊,中文,大16开,8-161,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/STXZ/detail'>Link</a>
34,0001-5717,11-1951/P,地质学报,Acta Geologica Sinica,中国地质学会会志,基础科学,地质学,2.938,2.611,6960,2400143,158742,核心期刊/CA/JST/EI/CSCD/WJCI/卓越期刊,中国地质学会,北京市,月刊,中文,大16开,2-113,1922,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DZXE/detail'>Link</a>
35,1000-6788,11-2267/N,系统工程理论与实践,Systems Engineering-Theory & Practice,-,基础科学,非线性科学与系统科学,2.858,1.919,9492,5273406,274466,核心期刊/JST/EI/CSCD/CSSCI来源期刊/WJCI/卓越期刊,中国系统工程学会,北京市,月刊,中文,大16开,2-305,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/XTLL/detail'>Link</a>
36,1005-0094,11-3247/Q,生物多样性,Biodiversity Science,-,基础科学,生物学,2.838,2.186,2993,1669377,96749,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI/卓越期刊,中国科学院生物多样性委员会;中国植物学会;中国科学院植物研究所;中国科学院动物研究所;中国科学院微生物研究所,北京市,月刊,中文,大16开,82-858,1993,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SWDY/detail'>Link</a>
37,1005-2321,11-3370/P,地学前缘,Earth Science Frontiers,-,基础科学,地质学,2.822,2.206,6116,2890439,164536,核心期刊/CA/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,中国地质大学(北京);北京大学,北京市,双月,中文,大16开,-,1994,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DXQY/detail'>Link</a>
38,1002-6711,11-1344/G3,中国科技论坛,Forum on Science and Technology in China,-,基础科学,基础科学综合,2.713,1.637,8069,3524459,99444,核心期刊/JST/CSSCI来源期刊,中国科学技术发展战略研究院,北京市,月刊,中文,大16开,2-878,1985,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZGKT/detail'>Link</a>
39,1001-4675,65-1095/X,干旱区研究,Arid Zone Research,-,农业科技；基础科学,自然地理学和测绘学；农业基础科学,2.711,2.05,4363,1336065,70635,核心期刊/JST/CSCD/WJCI,中国科学院新疆生态与地理研究所;中国土壤学会,新疆维吾尔自治区乌鲁木齐市,双月,中文,大16开,58-37,1984,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GHQJ/detail'>Link</a>
40,1001-7313,11-2690/P,应用气象学报,Journal of Applied Meteorological Science,气象科学研究院院刊,基础科学,气象学,2.701,2.496,3147,787920,87350,核心期刊/JST/CSCD/WJCI,中国气象科学研究院;国家气象中心;国家卫星气象中心;国家气候中心;国家气象信息中心;中国气象局气象探测中心,北京市,双月,中文,大16开,-,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YYQX/detail'>Link</a>
41,1000-6060,65-1103/X,干旱区地理,Arid Land Geography,新疆地理,基础科学,自然地理学和测绘学,2.675,2.022,4676,1664411,75029,核心期刊/JST/CSCD/WJCI,中国科学院新疆生态与地理研究所;中国地理学会,新疆维吾尔自治区乌鲁木齐市,双月,中文,大16开,58-45,1978,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GHDL/detail'>Link</a>
42,1000-694X,62-1070/P,中国沙漠,Journal of Desert Research,-,基础科学,自然地理学和测绘学,2.644,1.957,5229,1895143,124656,核心期刊/JST/CSCD/WJCI,中国科学院寒区旱区环境与工程研究所,甘肃省兰州市,双月,中文,大16开,54-14,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZGSS/detail'>Link</a>
43,1000-7210,13-1095/TE,石油地球物理勘探,Oil Geophysical Prospecting,-,工程科技1；基础科学,地球物理学；石油天然气工业,2.636,1.896,7574,1485601,85302,核心期刊/JST/EI/CSCD/WJCI,东方地球物理勘探有限责任公司,河北省涿州市,双月,中文,大16开,-,1966,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYDQ/detail'>Link</a>
44,1001-3873,65-1107/TE,新疆石油地质,Xinjiang Petroleum Geology,-,工程科技1；基础科学,地质学；石油天然气工业,2.633,2.344,5529,1410341,61984,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI,新疆石油学会,新疆维吾尔自治区克拉玛依市,双月,中文,大16开,58-46,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/XJSD/detail'>Link</a>
45,1001-1595,11-2089/P,测绘学报,Acta Geodaetica et Cartographica Sinica,-,基础科学,自然地理学和测绘学,2.598,1.973,4733,1756413,95962,核心期刊/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,中国测绘学会,北京市,月刊,中文,大16开,2-224,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/CHXB/detail'>Link</a>
46,1672-0504,13-1330/P,地理与地理信息科学,Geography and Geo-Information Science,地理学与国土研究,基础科学,自然地理学和测绘学,2.597,1.777,4038,2194583,90831,核心期刊/JST/CSCD扩展版/WJCI,河北省科学院地理科学研究所,河北省石家庄市,双月,中文,大16开,18-27,1985,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLGT/detail'>Link</a>
47,1000-0534,62-1061/P,高原气象,Plateau Meteorology,-,基础科学,气象学,2.59,2.358,4430,1190138,106993,核心期刊/JST/CSCD扩展版/WJCI,中国科学院寒区旱区环境与工程研究所,甘肃省兰州市,双月,中文,大16开,54-43,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GYQX/detail'>Link</a>
48,1672-3538,22-1352/S,菌物研究,Journal of Fungal Research,-,基础科学,生物学,2.574,2.088,1028,266108,9439,CA,吉林农业大学,吉林省长春市,季刊,中文,大16开,-,2003,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/YJJW/detail'>Link</a>
49,1000-1441,32-1284/TE,石油物探,Geophysical Prospecting for Petroleum,-,工程科技1；基础科学,地球物理学；石油天然气工业,2.556,1.951,4128,820750,49772,核心期刊/JST/CSCD/WJCI,中国石油化工股份有限公司石油物探技术研究院,江苏省南京市,双月,中文,大16开,-,1962,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYWT/detail'>Link</a>
50,0258-7106,11-1965/P,矿床地质,Mineral Deposits,-,工程科技1；基础科学,地质学；矿业工程,2.549,2.323,5275,1346396,86241,核心期刊/CA/JST/CSCD/WJCI,中国地质学会矿床地质专业委员会;中国地质科学院矿产资源研究所,北京市,双月,中文,大16开,82-459,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KCDZ/detail'>Link</a>
51,1005-264X,11-3397/Q,植物生态学报,Chinese Journal of Plant Ecology,植物生态学与地植物学资料丛刊;植物生态学与地植物学学报;植物生态学与地植物学丛刊,基础科学,生物学,2.546,1.921,4306,2328248,205934,核心期刊/CA/JST/CSCD/WJCI/卓越期刊,中国植物学会;中国科学院植物研究所,北京市,月刊,中文,大16开,82-5,1955,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZWSB/detail'>Link</a>
52,1007-3116,61-1421/C,统计与信息论坛,Journal of Statistics and Information,统计与信息论坛-西安统计学院学报,社会科学2；基础科学,数学；社会学及统计学,2.53,1.468,4685,2216326,54080,核心期刊/CSSCI来源期刊,西安财经大学;中国统计教育学会高教分会,陕西省西安市,月刊,中文,大16开,52-153,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/TJLT/detail'>Link</a>
53,1005-8907,41-1219/TE,断块油气田,Fault-Block Oil & Gas Field,-,工程科技1；基础科学,地质学；石油天然气工业,2.5,2.314,5030,1232486,51874,核心期刊/CA/JST/CSCD扩展版/WJCI,中国石化集团中原石油勘探局有限公司,河南省濮阳市,双月,中文,大16开,36-351,1994,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DKYT/detail'>Link</a>
54,0577-6619,11-2006/P,气象学报,Acta Meteorologica Sinica,中国气象学会会刊&气象杂志,基础科学,气象学,2.494,2.34,4291,1053364,110751,核心期刊/CA/JST/CSCD/WJCI,中国气象学会,北京市,双月,中文,大16开,2-368,1925,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QXXB/detail'>Link</a>
55,1000-0526,11-2282/P,气象,Meteorological Monthly,-,基础科学,气象学,2.479,2.377,11180,1431387,120605,核心期刊/JST/CSCD/WJCI,国家气象中心,北京市,月刊,中文,16开,2-495,1950,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QXXX/detail'>Link</a>
56,1671-1505,11-4678/P,古地理学报,Journal of Palaeogeography(Chinese Edition),-,基础科学,地质学,2.46,1.947,1905,859331,41910,核心期刊/CA/JST/CSCD/WJCI,中国石油大学;中国矿物岩石地球化学学会,北京市,双月,中文,16开,2-739,1999,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GDLX/detail'>Link</a>
57,0001-5733,11-2074/P,地球物理学报,Chinese Journal of Geophysics,-,基础科学,地球物理学；地质学,2.413,1.998,9627,2466360,222720,核心期刊/CA/SCI/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,中国地球物理学会;中国科学院地质与地球物理研究所,北京市,月刊,中文,16开,2-571,1948,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DQWX/detail'>Link</a>
58,1002-1566,11-2242/O1,数理统计与管理,Journal of Applied Statistics and Management,-,经济与管理科学；基础科学,数学；宏观经济管理与可持续发展,2.406,1.431,4106,1968794,58771,核心期刊/JST/CSSCI来源期刊,中国现场统计研究会,北京市,双月,中文,16开,82-69,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SLTJ/detail'>Link</a>
59,1671-8860,42-1676/TN,武汉大学学报(信息科学版),Geomatics and Information Science of Wuhan University,武汉测绘学院学报;武汉测绘科技大学学报,基础科学,自然地理学和测绘学,2.405,1.763,7211,2765233,134182,核心期刊/CA/INSPEC/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,武汉大学,湖北省武汉市,月刊,中文,大16开,38-317,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/WHCH/detail'>Link</a>
60,1005-2542,31-1977/N,系统管理学报,Journal of Systems & Management,系统工程理论方法应用,经济与管理科学；基础科学,非线性科学与系统科学；宏观经济管理与可持续发展,2.403,1.259,3241,1547767,57473,核心期刊/JST/CSCD扩展版/CSSCI来源期刊扩展版/WJCI,上海交通大学,上海市,双月,中文,大16开,-,1992,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/XTGL/detail'>Link</a>
61,1006-3021,11-3474/P,地球学报,Acta Geoscientica Sinica,地质科学院院报;地球学报-中国地质科学院院报,基础科学,地质学,2.362,1.887,3363,1083844,67422,核心期刊/CA/JST/CSCD/WJCI,中国地质科学院,北京市,双月,中文,大16开,82-53,1979,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DQXB/detail'>Link</a>
62,1001-5221,44-1209/N,热带地理,Tropical Geography,-,基础科学,自然地理学和测绘学,2.346,1.53,3580,1600396,42344,核心期刊/JST/CSCD/WJCI,广东省科学院广州地理研究所,广东省广州市,双月,中文,大16开,-,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/RDDD/detail'>Link</a>
63,1001-8166,62-1091/P,地球科学进展,Advances in Earth Science,地球科学信息,基础科学,地质学,2.322,1.894,6188,2848728,141498,核心期刊/CA/JST/CSCD/WJCI,国家自然科学基金委员会地球科学部;中国科学院资源环境科学与技术局;中国科学院资源环境科学信息中心,甘肃省兰州市,月刊,中文,大16开,54-86,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DXJZ/detail'>Link</a>
64,1002-6487,42-1009/C,统计与决策,Statistics & Decision,-,社会科学2；基础科学,数学；社会学及统计学,2.32,1.133,30215,12590865,277726,核心期刊/CSSCI来源期刊,湖北长江报刊传媒(集团)有限公司,湖北省武汉市,半月,中文,大16开,38-150,1985,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/TJJC/detail'>Link</a>
65,1673-1719,11-5368/P,气候变化研究进展,Climate Change Research,-,基础科学,气象学,2.315,1.822,1679,877053,34787,核心期刊/JST/CSCD/WJCI,中国气象局国家气候中心,北京市,双月,中文,大16开,80-463,2005,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QHBH/detail'>Link</a>
66,1673-7148,41-1386/P,气象与环境科学,Meteorological and Environmental Sciences,河南气象,基础科学,气象学,2.313,2.1,3943,407527,21102,JST,河南省气象局,河南省郑州市,双月,中文,大16开,-,1978,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/HNQX/detail'>Link</a>
67,0253-2239,31-1252/O4,光学学报,Acta Optica Sinica,-,基础科学,物理学,2.277,1.859,16776,3606968,159865,核心期刊/CA/INSPEC/JST/EI/CSCD/WJCI/卓越期刊,中国科学院上海光学精密机械研究所;中国光学学会,上海市,半月,中文,大16开,4-293,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GXXB/detail'>Link</a>
68,0459-1879,11-2062/O3,力学学报,Chinese Journal of Theoretical and Applied Mechanics,-,基础科学,力学,2.216,1.914,5693,1296353,71297,核心期刊/CA/JST/EI/CSCD/WJCI,中国力学学会;中国科学院力学研究所,北京市,月刊,中文,大16开,2-814,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/LXXB/detail'>Link</a>
69,1006-9895,11-1768/O4,大气科学,Chinese Journal of Atmospheric Sciences,-,基础科学,气象学,2.196,2.021,3880,1195496,114373,核心期刊/JST/CSCD/WJCI,中国科学院大气物理研究所;中国气象学会,北京市,双月,中文,16开,2-823,1976,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DQXK/detail'>Link</a>
70,0495-5331,11-2043/P,地质与勘探,Geology and Exploration,-,工程科技1；基础科学,地质学；矿业工程,2.189,1.957,10131,1229157,64541,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI,中国冶金地质总局矿产资源研究院;中国地质学会,北京市,双月,中文,大16开,82-504,1957,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DZKT/detail'>Link</a>
71,2095-5138,10-1088/N,National Science Review,国家科学评论(英文版),-,工程科技2；基础科学,基础科学综合；综合科技B类综合,2.181,1.645,1424,43041,6816,CA/INSPEC/SCI/JST/EI/CSCD/WJCI/卓越期刊,中国科技出版传媒股份有限公司,北京市,月刊,英文,大16开,80-671,2014,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NASR/detail'>Link</a>
72,1009-637X,11-4546/P,Journal of Geographical Sciences,地理学报(英文版),中国地理杂志(英文版);The Journal of Chinese Geography,哲学与人文科学；基础科学,自然地理学和测绘学；地理,2.171,1.653,2387,440789,17157,INSPEC/SCI/JST/Pж(AJ)/CSCD/WJCI/卓越期刊,中国地理学会;中国科学院地理科学与资源研究所,北京市,月刊,英文,16开,-,1990,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZGDE/detail'>Link</a>
